line,stanza,line_number
"Thy hasty spring still blasts, and ne'er grows old!",7,49
"When at Collatium this false lord arrived,",8,50
"Well was he welcomed by the Roman dame,",8,51
Within whose face beauty and virtue strived,8,52
Which of them both should underprop her fame:,8,53
"When virtue bragg'd, beauty would blush for shame;",8,54
"When beauty boasted blushes, in despite",8,55
Virtue would stain that o'er with silver white.,8,56
"But beauty, in that white intituled,",9,57
From Venus' doves doth challenge that fair field:,9,58
"Then virtue claims from beauty beauty's red,",9,59
Which virtue gave the golden age to gild,9,60
"Their silver cheeks, and call'd it then their shield;",9,61
"Teaching them thus to use it in the fight,",9,62
"When shame assail'd, the red should fence the white.",9,63
"This heraldry in Lucrece' face was seen,",10,64
Argued by beauty's red and virtue's white,10,65
"Of either's colour was the other queen,",10,66
Proving from world's minority their right:,10,67
Yet their ambition makes them still to fight;,10,68
"The sovereignty of either being so great,",10,69
That oft they interchange each other's seat.,10,70
"Their silent war of lilies and of roses,",11,71
"Which Tarquin view'd in her fair face's field,",11,72
In their pure ranks his traitor eye encloses;,11,73
"Where, lest between them both it should be kill'd,",11,74
The coward captive vanquished doth yield,11,75
"To those two armies that would let him go,",11,76
Rather than triumph in so false a foe.,11,77
"Now thinks he that her husband's shallow tongue,--",12,78
"The niggard prodigal that praised her so,--",12,79
"In that high task hath done her beauty wrong,",12,80
Which far exceeds his barren skill to show:,12,81
Therefore that praise which Collatine doth owe,12,82
"Enchanted Tarquin answers with surmise,",12,83
In silent wonder of still-gazing eyes.,12,84
"This earthly saint, adored by this devil,",13,85
Little suspecteth the false worshipper;,13,86
For unstain'd thoughts do seldom dream on evil;,13,87
Birds never limed no secret bushes fear:,13,88
So guiltless she securely gives good cheer,13,89
"And reverend welcome to her princely guest,",13,90
Whose inward ill no outward harm express'd:,13,91
"For that he colour'd with his high estate,",14,92
Hiding base sin in plaits of majesty;,14,93
"That nothing in him seem'd inordinate,",14,94
"Save something too much wonder of his eye,",14,95
"Which, having all, all could not satisfy;",14,96
"But, poorly rich, so wanteth in his store,",14,97
"That, cloy'd with much, he pineth still for more.",14,98
"But she, that never coped with stranger eyes,",15,99
"Could pick no meaning from their parling looks,",15,100
Nor read the subtle-shining secrecies,15,101
Writ in the glassy margents of such books:,15,102
"She touch'd no unknown baits, nor fear'd no hooks;",15,103
"Nor could she moralize his wanton sight,",15,104
More than his eyes were open'd to the light.,15,105
"He stories to her ears her husband's fame,",16,106
Won in the fields of fruitful Italy;,16,107
"And decks with praises Collatine's high name,",16,108
Made glorious by his manly chivalry,16,109
With bruised arms and wreaths of victory:,16,110
"Her joy with heaved-up hand she doth express,",16,111
"And, wordless, so greets heaven for his success.",16,112
"Far from the purpose of his coming hither,",17,113
He makes excuses for his being there:,17,114
No cloudy show of stormy blustering weather,17,115
Doth yet in his fair welkin once appear;,17,116
"Till sable Night, mother of Dread and Fear,",17,117
"Upon the world dim darkness doth display,",17,118
And in her vaulty prison stows the Day.,17,119
"For then is Tarquin brought unto his bed,",18,120
Intending weariness with heavy spright;,18,121
"For, after supper, long he questioned",18,122
"With modest Lucrece, and wore out the night:",18,123
Now leaden slumber with life's strength doth fight;,18,124
"And every one to rest themselves betake,",18,125
"Save thieves, and cares, and troubled minds, that wake.",18,126
As one of which doth Tarquin lie revolving,19,127
The sundry dangers of his will's obtaining;,19,128
"Yet ever to obtain his will resolving,",19,129
Though weak-built hopes persuade him to abstaining:,19,130
Despair to gain doth traffic oft for gaining;,19,131
"And when great treasure is the meed proposed,",19,132
"Though death be adjunct, there's no death supposed.",19,133
"Those that much covet are with gain so fond,",20,134
"For what they have not, that which they possess",20,135
"They scatter and unloose it from their bond,",20,136
"And so, by hoping more, they have but less;",20,137
"Or, gaining more, the profit of excess",20,138
"Is but to surfeit, and such griefs sustain,",20,139
That they prove bankrupt in this poor-rich gain.,20,140
The aim of all is but to nurse the life,21,141
"With honour, wealth, and ease, in waning age;",21,142
"And in this aim there is such thwarting strife,",21,143
"That one for all, or all for one we gage;",21,144
As life for honour in fell battle's rage;,21,145
Honour for wealth; and oft that wealth doth cost,21,146
"The death of all, and all together lost.",21,147
So that in venturing ill we leave to be,22,148
The things we are for that which we expect;,22,149
"And this ambitious foul infirmity,",22,150
"In having much, torments us with defect",22,151
Of that we have: so then we do neglect,22,152
"The thing we have; and, all for want of wit,",22,153
Make something nothing by augmenting it.,22,154
"Such hazard now must doting Tarquin make,",23,155
Pawning his honour to obtain his lust;,23,156
And for himself himself be must forsake:,23,157
"Then where is truth, if there be no self-trust?",23,158
"When shall he think to find a stranger just,",23,159
"When he himself himself confounds, betrays",23,160
To slanderous tongues and wretched hateful days?,23,161
"Now stole upon the time the dead of night,",24,162
When heavy sleep had closed up mortal eyes:,24,163
"No comfortable star did lend his light,",24,164
No noise but owls' and wolves' death-boding cries;,24,165
Now serves the season that they may surprise,24,166
"The silly lambs: pure thoughts are dead and still,",24,167
While lust and murder wake to stain and kill.,24,168
"And now this lustful lord leap'd from his bed,",25,169
Throwing his mantle rudely o'er his arm;,25,170
Is madly toss'd between desire and dread;,25,171
"Th' one sweetly flatters, th' other feareth harm;",25,172
"But honest fear, bewitch'd with lust's foul charm,",25,173
"Doth too too oft betake him to retire,",25,174
Beaten away by brain-sick rude desire.,25,175
"His falchion on a flint he softly smiteth,",26,176
That from the cold stone sparks of fire do fly;,26,177
"Whereat a waxen torch forthwith he lighteth,",26,178
Which must be lode-star to his lustful eye;,26,179
"And to the flame thus speaks advisedly,",26,180
"'As from this cold flint I enforced this fire,",26,181
So Lucrece must I force to my desire.',26,182
Here pale with fear he doth premeditate,27,183
"The dangers of his loathsome enterprise,",27,184
And in his inward mind he doth debate,27,185
What following sorrow may on this arise:,27,186
"Then looking scornfully, he doth despise",27,187
"His naked armour of still-slaughter'd lust,",27,188
And justly thus controls his thoughts unjust:,27,189
"'Fair torch, burn out thy light, and lend it not",28,190
To darken her whose light excelleth thine:,28,191
"And die, unhallow'd thoughts, before you blot",28,192
With your uncleanness that which is divine;,28,193
Offer pure incense to so pure a shrine:,28,194
Let fair humanity abhor the deed,28,195
That spots and stains love's modest snow-white weed.,28,196
'O shame to knighthood and to shining arms!,29,197
O foul dishonour to my household's grave!,29,198
"O impious act, including all foul harms!",29,199
A martial man to be soft fancy's slave!,29,200
True valour still a true respect should have;,29,201
"Then my digression is so vile, so base,",29,202
That it will live engraven in my face.,29,203
"'Yea, though I die, the scandal will survive,",30,204
And be an eye-sore in my golden coat;,30,205
"Some loathsome dash the herald will contrive,",30,206
To cipher me how fondly I did dote;,30,207
"That my posterity, shamed with the note",30,208
"Shall curse my bones, and hold it for no sin",30,209
To wish that I their father had not bin.,30,210
"'What win I, if I gain the thing I seek?",31,211
"A dream, a breath, a froth of fleeting joy.",31,212
Who buys a minute's mirth to wail a week?,31,213
Or sells eternity to get a toy?,31,214
For one sweet grape who will the vine destroy?,31,215
"Or what fond beggar, but to touch the crown,",31,216
Would with the sceptre straight be strucken down?,31,217
"'If Collatinus dream of my intent,",32,218
"Will he not wake, and in a desperate rage",32,219
"Post hither, this vile purpose to prevent?",32,220
"This siege that hath engirt his marriage,",32,221
"This blur to youth, this sorrow to the sage,",32,222
"This dying virtue, this surviving shame,",32,223
Whose crime will bear an ever-during blame?,32,224
"'O, what excuse can my invention make,",33,225
When thou shalt charge me with so black a deed?,33,226
"Will not my tongue be mute, my frail joints shake,",33,227
"Mine eyes forego their light, my false heart bleed?",33,228
"The guilt being great, the fear doth still exceed;",33,229
"And extreme fear can neither fight nor fly,",33,230
But coward-like with trembling terror die.,33,231
"'Had Collatinus kill'd my son or sire,",35,232
"Or lain in ambush to betray my life,",35,233
"Or were he not my dear friend, this desire",35,234
"Might have excuse to work upon his wife,",35,235
As in revenge or quittal of such strife:,35,236
"But as he is my kinsman, my dear friend,",35,237
The shame and fault finds no excuse nor end.,35,238
"'Shameful it is; ay, if the fact be known:",36,239
Hateful it is; there is no hate in loving:,36,240
I'll beg her love; but she is own:,36,241
The worst is but denial and reproving:,36,242
"My will is strong, past reason's weak removing.",36,243
Who fears a sentence or an old man's saw,36,244
Shall by a painted cloth be kept in awe.',36,245
"Thus, graceless, holds he disputation",37,246
"'Tween frozen conscience and hot-burning will,",37,247
"And with good thoughts make dispensation,",37,248
Urging the worser sense for vantage still;,37,249
Which in a moment doth confound and kill,37,250
"All pure effects, and doth so far proceed,",37,251
That what is vile shows like a virtuous deed.,37,252
"Quoth he, 'She took me kindly by the hand,",38,253
"And gazed for tidings in my eager eyes,",38,254
"Fearing some hard news from the warlike band,",38,255
Where her beloved Collatinus lies.,38,256
"O, how her fear did make her colour rise!",38,257
"First red as roses that on lawn we lay,",38,258
"Then white as lawn, the roses took away.",38,259
"'And how her hand, in my hand being lock'd",39,260
Forced it to tremble with her loyal fear!,39,261
"Which struck her sad, and then it faster rock'd,",39,262
Until her husband's welfare she did hear;,39,263
"Whereat she smiled with so sweet a cheer,",39,264
"That had Narcissus seen her as she stood,",39,265
Self-love had never drown'd him in the flood.,39,266
'Why hunt I then for colour or excuses?,40,267
All orators are dumb when beauty pleadeth;,40,268
Poor wretches have remorse in poor abuses;,40,269
Love thrives not in the heart that shadows dreadeth:,40,270
"Affection is my captain, and he leadeth;",40,271
"And when his gaudy banner is display'd,",40,272
The coward fights and will not be dismay'd.,40,273
"'Then, childish fear, avaunt! debating, die!",41,274
"Respect and reason, wait on wrinkled age!",41,275
My heart shall never countermand mine eye:,41,276
Sad pause and deep regard beseem the sage;,41,277
"My part is youth, and beats these from the stage:",41,278
"Desire my pilot is, beauty my prize;",41,279
Then who fears sinking where such treasure lies?',41,280
"As corn o'ergrown by weeds, so heedful fear",42,281
Is almost choked by unresisted lust.,42,282
"Away he steals with open listening ear,",42,283
Full of foul hope and full of fond mistrust;,42,284
"Both which, as servitors to the unjust,",42,285
"So cross him with their opposite persuasion,",42,286
"That now he vows a league, and now invasion.",42,287
"Within his thought her heavenly image sits,",43,288
And in the self-same seat sits Collatine:,43,289
That eye which looks on her confounds his wits;,43,290
"That eye which him beholds, as more divine,",43,291
Unto a view so false will not incline;,43,292
"But with a pure appeal seeks to the heart,",43,293
Which once corrupted takes the worser part;,43,294
"And therein heartens up his servile powers,",44,295
"Who, flatter'd by their leader's jocund show,",44,296
"Stuff up his lust, as minutes fill up hours;",44,297
"And as their captain, so their pride doth grow,",44,298
Paying more slavish tribute than they owe.,44,299
"By reprobate desire thus madly led,",44,300
The Roman lord marcheth to Lucrece' bed.,44,301
"The locks between her chamber and his will,",45,302
"Each one by him enforced, retires his ward;",45,303
"But, as they open, they all rate his ill,",45,304
Which drives the creeping thief to some regard:,45,305
The threshold grates the door to have him heard;,45,306
Night-wandering weasels shriek to see him there;,45,307
"They fright him, yet he still pursues his fear.",45,308
"As each unwilling portal yields him way,",46,309
Through little vents and crannies of the place,46,310
"The wind wars with his torch to make him stay,",46,311
"And blows the smoke of it into his face,",46,312
Extinguishing his conduct in this case;,46,313
"But his hot heart, which fond desire doth scorch,",46,314
Puffs forth another wind that fires the torch:,46,315
"And being lighted, by the light he spies",47,316
"Lucretia's glove, wherein her needle sticks:",47,317
"He takes it from the rushes where it lies,",47,318
"And griping it, the needle his finger pricks;",47,319
As who should say 'This glove to wanton tricks,47,320
Is not inured; return again in haste;,47,321
Thou see'st our mistress' ornaments are chaste.',47,322
But all these poor forbiddings could not stay him;,48,323
He in the worst sense construes their denial:,48,324
"The doors, the wind, the glove, that did delay him,",48,325
He takes for accidental things of trial;,48,326
"Or as those bars which stop the hourly dial,",48,327
"Who with a lingering slay his course doth let,",48,328
Till every minute pays the hour his debt.,48,329
"'So, so,' quoth he, 'these lets attend the time,",49,330
"Like little frosts that sometime threat the spring,",49,331
"To add a more rejoicing to the prime,",49,332
And give the sneaped birds more cause to sing.,49,333
Pain pays the income of each precious thing;,49,334
"Huge rocks, high winds, strong pirates, shelves and sands,",49,335
"The merchant fears, ere rich at home he lands.'",49,336
"Now is he come unto the chamber-door,",50,337
"That shuts him from the heaven of his thought,",50,338
"Which with a yielding latch, and with no more,",50,339
Hath barr'd him from the blessed thing be sought.,50,340
"So from himself impiety hath wrought,",50,341
"That for his prey to pray he doth begin,",50,342
As if the heavens should countenance his sin.,50,343
"But in the midst of his unfruitful prayer,",51,344
Having solicited th' eternal power,51,345
"That his foul thoughts might compass his fair fair,",51,346
"And they would stand auspicious to the hour,",51,347
"Even there he starts: quoth he, 'I must deflower:",51,348
"The powers to whom I pray abhor this fact,",51,349
How can they then assist me in the act?,51,350
"'Then Love and Fortune be my gods, my guide!",52,351
My will is back'd with resolution:,52,352
Thoughts are but dreams till their effects be tried;,52,353
The blackest sin is clear'd with absolution;,52,354
Against love's fire fear's frost hath dissolution.,52,355
"The eye of heaven is out, and misty night",52,356
Covers the shame that follows sweet delight.',52,357
"This said, his guilty hand pluck'd up the latch,",53,358
And with his knee the door he opens wide.,53,359
The dove sleeps fast that this night-owl will catch:,53,360
Thus treason works ere traitors be espied.,53,361
Who sees the lurking serpent steps aside;,53,362
"But she, sound sleeping, fearing no such thing,",53,363
Lies at the mercy of his mortal sting.,53,364
"Into the chamber wickedly he stalks,",54,365
And gazeth on her yet unstained bed.,54,366
"The curtains being close, about he walks,",54,367
Rolling his greedy eyeballs in his head:,54,368
By their high treason is his heart misled;,54,369
Which gives the watch-word to his hand full soon,54,370
To draw the cloud that hides the silver moon.,54,371
"Look, as the fair and fiery-pointed sun,",55,372
"Rushing from forth a cloud, bereaves our sight;",55,373
"Even so, the curtain drawn, his eyes begun",55,374
"To wink, being blinded with a greater light:",55,375
"Whether it is that she reflects so bright,",55,376
"That dazzleth them, or else some shame supposed;",55,377
"But blind they are, and keep themselves enclosed.",55,378
"O, had they in that darksome prison died!",56,379
Then had they seen the period of their ill;,56,380
"Then Collatine again, by Lucrece' side,",56,381
In his clear bed might have reposed still:,56,382
"But they must ope, this blessed league to kill;",56,383
And holy-thoughted Lucrece to their sight,56,384
"Must sell her joy, her life, her world's delight.",56,385
"Her lily hand her rosy cheek lies under,",57,386
Cozening the pillow of a lawful kiss;,57,387
"Who, therefore angry, seems to part in sunder,",57,388
Swelling on either side to want his bliss;,57,389
Between whose hills her head entombed is:,57,390
"Where, like a virtuous monument, she lies,",57,391
To be admired of lewd unhallow'd eyes.,57,392
"Without the bed her other fair hand was,",58,393
On the green coverlet; whose perfect white,58,394
"Show'd like an April daisy on the grass,",58,395
"With pearly sweat, resembling dew of night.",58,396
"Her eyes, like marigolds, had sheathed their light,",58,397
"And canopied in darkness sweetly lay,",58,398
Till they might open to adorn the day.,58,399
"Her hair, like golden threads, play'd with her breath;",59,400
O modest wantons! wanton modesty!,59,401
"Showing life's triumph in the map of death,",59,402
And death's dim look in life's mortality:,59,403
"Each in her sleep themselves so beautify,",59,404
"As if between them twain there were no strife,",59,405
"But that life lived in death, and death in life.",59,406
"Her breasts, like ivory globes circled with blue,",60,407
"A pair of maiden worlds unconquered,",60,408
"Save of their lord no bearing yoke they knew,",60,409
And him by oath they truly honoured.,60,410
These worlds in Tarquin new ambition bred;,60,411
"Who, like a foul ursurper, went about",60,412
From this fair throne to heave the owner out.,60,413
What could he see but mightily he noted?,61,414
What did he note but strongly he desired?,61,415
"What he beheld, on that he firmly doted,",61,416
And in his will his wilful eye he tired.,61,417
With more than admiration he admired,61,418
"Her azure veins, her alabaster skin,",61,419
"Her coral lips, her snow-white dimpled chin.",61,420
"As the grim lion fawneth o'er his prey,",62,421
"Sharp hunger by the conquest satisfied,",62,422
"So o'er this sleeping soul doth Tarquin stay,",62,423
His rage of lust by gazing qualified;,62,424
"Slack'd, not suppress'd; for standing by her side,",62,425
"His eye, which late this mutiny restrains,",62,426
Unto a greater uproar tempts his veins:,62,427
"And they, like straggling slaves for pillage fighting,",63,428
"Obdurate vassals fell exploits effecting,",63,429
"In bloody death and ravishment delighting,",63,430
"Nor children's tears nor mothers' groans respecting,",63,431
"Swell in their pride, the onset still expecting:",63,432
"Anon his beating heart, alarum striking,",63,433
Gives the hot charge and bids them do their liking.,63,434
"His drumming heart cheers up his burning eye,",64,435
His eye commends the leading to his hand;,64,436
"His hand, as proud of such a dignity,",64,437
"Smoking with pride, march'd on to make his stand",64,438
"On her bare breast, the heart of all her land;",64,439
"Whose ranks of blue veins, as his hand did scale,",64,440
Left there round turrets destitute and pale.,64,441
"They, mustering to the quiet cabinet",65,442
"Where their dear governess and lady lies,",65,443
"Do tell her she is dreadfully beset,",65,444
And fright her with confusion of their cries:,65,445
"She, much amazed, breaks ope her lock'd-up eyes,",65,446
"Who, peeping forth this tumult to behold,",65,447
Are by his flaming torch dimm'd and controll'd.,65,448
Imagine her as one in dead of night,66,449
"From forth dull sleep by dreadful fancy waking,",66,450
"That thinks she hath beheld some ghastly sprite,",66,451
Whose grim aspect sets every joint a-shaking;,66,452
"What terror or 'tis! but she, in worser taking,",66,453
"From sleep disturbed, heedfully doth view",66,454
The sight which makes supposed terror true.,66,455
"Wrapp'd and confounded in a thousand fears,",67,456
Like to a new-kill'd bird she trembling lies;,67,457
"She dares not look; yet, winking, there appears",67,458
"Quick-shifting antics, ugly in her eyes:",67,459
Such shadows are the weak brain's forgeries;,67,460
"Who, angry that the eyes fly from their lights,",67,461
In darkness daunts them with more dreadful sights.,67,462
"His hand, that yet remains upon her breast,--",68,463
"Rude ram, to batter such an ivory wall!--",68,464
"May feel her heart-poor citizen!--distress'd,",68,465
"Wounding itself to death, rise up and fall,",68,466
"Beating her bulk, that his hand shakes withal.",68,467
"This moves in him more rage and lesser pity,",68,468
To make the breach and enter this sweet city.,68,469
"First, like a trumpet, doth his tongue begin",69,470
To sound a parley to his heartless foe;,69,471
"Who o'er the white sheet peers her whiter chin,",69,472
"The reason of this rash alarm to know,",69,473
Which he by dumb demeanor seeks to show;,69,474
But she with vehement prayers urgeth still,69,475
Under what colour he commits this ill.,69,476
"Thus he replies: 'The colour in thy face,",70,477
"That even for anger makes the lily pale,",70,478
"And the red rose blush at her own disgrace,",70,479
Shall plead for me and tell my loving tale:,70,480
Under that colour am I come to scale,70,481
"Thy never-conquer'd fort: the fault is thine,",70,482
For those thine eyes betray thee unto mine.,70,483
"'Thus I forestall thee, if thou mean to chide:",71,484
"Thy beauty hath ensnared thee to this night,",71,485
Where thou with patience must my will abide;,71,486
"My will that marks thee for my earth's delight,",71,487
Which I to conquer sought with all my might;,71,488
"But as reproof and reason beat it dead,",71,489
By thy bright beauty was it newly bred.,71,490
'I see what crosses my attempt will bring;,72,491
I know what thorns the growing rose defends;,72,492
I think the honey guarded with a sting;,72,493
All this beforehand counsel comprehends:,72,494
But will is deaf and hears no heedful friends;,72,495
"Only he hath an eye to gaze on beauty,",72,496
"And dotes on what he looks, 'gainst law or duty.",72,497
"'I have debated, even in my soul,",73,498
"What wrong, what shame, what sorrow I shall breed;",73,499
"But nothing can affection's course control,",73,500
Or stop the headlong fury of his speed.,73,501
"I know repentant tears ensue the deed,",73,502
"Reproach, disdain, and deadly enmity;",73,503
Yet strive I to embrace mine infamy.',73,504
"This said, he shakes aloft his Roman blade,",74,505
"Which, like a falcon towering in the skies,",74,506
"Coucheth the fowl below with his wings' shade,",74,507
Whose crooked beak threats if he mount he dies:,74,508
So under his insulting falchion lies,74,509
"Harmless Lucretia, marking what he tells",74,510
"With trembling fear, as fowl hear falcon's bells.",74,511
"'Lucrece,' quoth he,'this night I must enjoy thee:",75,512
"If thou deny, then force must work my way,",75,513
For in thy bed I purpose to destroy thee:,75,514
"That done, some worthless slave of thine I'll slay,",75,515
To kill thine honour with thy life's decay;,75,516
"And in thy dead arms do I mean to place him,",75,517
"Swearing I slew him, seeing thee embrace him.",75,518
'So thy surviving husband shall remain,76,519
The scornful mark of every open eye;,76,520
"Thy kinsmen hang their heads at this disdain,",76,521
Thy issue blurr'd with nameless bastardy:,76,522
"And thou, the author of their obloquy,",76,523
"Shalt have thy trespass cited up in rhymes,",76,524
And sung by children in succeeding times.,76,525
"'But if thou yield, I rest thy secret friend:",77,526
The fault unknown is as a thought unacted;,77,527
A little harm done to a great good end,77,528
For lawful policy remains enacted.,77,529
The poisonous simple sometimes is compacted,77,530
"In a pure compound; being so applied,",77,531
His venom in effect is purified.,77,532
"'Then, for thy husband and thy children's sake,",78,533
Tender my suit: bequeath not to their lot,78,534
"The shame that from them no device can take,",78,535
The blemish that will never be forgot;,78,536
Worse than a slavish wipe or birth-hour's blot:,78,537
For marks descried in men's nativity,78,538
"Are nature's faults, not their own infamy.'",78,539
Here with a cockatrice' dead-killing eye,79,540
He rouseth up himself and makes a pause;,79,541
"While she, the picture of pure piety,",79,542
"Like a white hind under the gripe's sharp claws,",79,543
"Pleads, in a wilderness where are no laws,",79,544
"To the rough beast that knows no gentle right,",79,545
Nor aught obeys but his foul appetite.,79,546
"But when a black-faced cloud the world doth threat,",80,547
"In his dim mist the aspiring mountains hiding,",80,548
"From earth's dark womb some gentle gust doth get,",80,549
"Which blows these pitchy vapours from their bidding,",80,550
Hindering their present fall by this dividing;,80,551
"So his unhallow'd haste her words delays,",80,552
And moody Pluto winks while Orpheus plays.,80,553
"Yet, foul night-waking cat, he doth but dally,",81,554
While in his hold-fast foot the weak mouse panteth:,81,555
"Her sad behavior feeds his vulture folly,",81,556
A swallowing gulf that even in plenty wanteth:,81,557
"His ear her prayers admits, but his heart granteth",81,558
No penetrable entrance to her plaining:,81,559
"Tears harden lust, though marble wear with raining.",81,560
Her pity-pleading eyes are sadly fix'd,82,561
In the remorseless wrinkles of his face;,82,562
"Her modest eloquence with sighs is mix'd,",82,563
Which to her oratory adds more grace.,82,564
She puts the period often from his place;,82,565
"And midst the sentence so her accent breaks,",82,566
That twice she doth begin ere once she speaks.,82,567
"She conjures him by high almighty Jove,",83,568
"By knighthood, gentry, and sweet friendship's oath,",83,569
"By her untimely tears, her husband's love,",83,570
"By holy human law, and common troth,",83,571
"By heaven and earth, and all the power of both,",83,572
"That to his borrow'd bed he make retire,",83,573
"And stoop to honour, not to foul desire.",83,574
"Quoth she, 'Reward not hospitality",84,575
With such black payment as thou hast pretended;,84,576
Mud not the fountain that gave drink to thee;,84,577
Mar not the thing that cannot be amended;,84,578
End thy ill aim before thy shoot be ended;,84,579
He is no woodman that doth bend his bow,84,580
To strike a poor unseasonable doe.,84,581
'My husband is thy friend; for his sake spare me:,85,582
Thyself art mighty; for thine own sake leave me:,85,583
Myself a weakling; do not then ensnare me:,85,584
Thou look'st not like deceit; do not deceive me.,85,585
"My sighs, like whirlwinds, labour hence to heave thee:",85,586
"If ever man were moved with woman moans,",85,587
"Be moved with my tears, my sighs, my groans:",85,588
"'All which together, like a troubled ocean,",86,589
"Beat at thy rocky and wreck-threatening heart,",86,590
To soften it with their continual motion;,86,591
For stones dissolved to water do convert.,86,592
"O, if no harder than a stone thou art,",86,593
"Melt at my tears, and be compassionate!",86,594
Soft pity enters at an iron gate.,86,595
'In Tarquin's likeness I did entertain thee:,87,596
Hast thou put on his shape to do him shame?,87,597
"To all the host of heaven I complain me,",87,598
"Thou wrong'st his honour, wound'st his princely name.",87,599
"Thou art not what thou seem'st; and if the same,",87,600
"Thou seem'st not what thou art, a god, a king;",87,601
For kings like gods should govern everything.,87,602
"'How will thy shame be seeded in thine age,",88,603
When thus thy vices bud before thy spring!,88,604
"If in thy hope thou darest do such outrage,",88,605
What darest thou not when once thou art a king?,88,606
"O, be remember'd, no outrageous thing",88,607
From vassal actors can be wiped away;,88,608
Then kings' misdeeds cannot be hid in clay.,88,609
'This deed will make thee only loved for fear;,89,610
But happy monarchs still are fear'd for love:,89,611
"With foul offenders thou perforce must bear,",89,612
When they in thee the like offences prove:,89,613
"If but for fear of this, thy will remove;",89,614
"For princes are the glass, the school, the book,",89,615
"Where subjects' eyes do learn, do read, do look.",89,616
'And wilt thou be the school where Lust shall learn?,90,617
Must he in thee read lectures of such shame?,90,618
Wilt thou be glass wherein it shall discern,90,619
"Authority for sin, warrant for blame,",90,620
To privilege dishonour in thy name?,90,621
"Thou black'st reproach against long-living laud,",90,622
And makest fair reputation but a bawd.,90,623
"'Hast thou command? by him that gave it thee,",91,624
From a pure heart command thy rebel will:,91,625
"Draw not thy sword to guard iniquity,",91,626
For it was lent thee all that brood to kill.,91,627
"Thy princely office how canst thou fulfil,",91,628
"When, pattern'd by thy fault, foul sin may say,",91,629
"He learn'd to sin, and thou didst teach the way?",91,630
"'Think but how vile a spectacle it were,",92,631
To view thy present trespass in another.,92,632
Men's faults do seldom to themselves appear;,92,633
Their own transgressions partially they smother:,92,634
This guilt would seem death-worthy in thy brother.,92,635
"O, how are they wrapp'd in with infamies",92,636
That from their own misdeeds askance their eyes!,92,637
"'To thee, to thee, my heaved-up hands appeal,",93,638
"Not to seducing lust, thy rash relier:",93,639
I sue for exiled majesty's repeal;,93,640
"Let him return, and flattering thoughts retire:",93,641
"His true respect will prison false desire,",93,642
"And wipe the dim mist from thy doting eyne,",93,643
That thou shalt see thy state and pity mine.',93,644
"'Have done,' quoth he: 'my uncontrolled tide",94,645
"Turns not, but swells the higher by this let.",94,646
"Small lights are soon blown out, huge fires abide,",94,647
And with the wind in greater fury fret:,94,648
The petty streams that pay a daily debt,94,649
"To their salt sovereign, with their fresh falls' haste",94,650
"Add to his flow, but alter not his taste.'",94,651
"'Thou art,' quoth she, 'a sea, a sovereign king;",95,652
"And, lo, there falls into thy boundless flood",95,653
"Black lust, dishonour, shame, misgoverning,",95,654
Who seek to stain the ocean of thy blood.,95,655
"If all these pretty ills shall change thy good,",95,656
"Thy sea within a puddle's womb is hearsed,",95,657
And not the puddle in thy sea dispersed.,95,658
"'So shall these slaves be king, and thou their slave;",96,659
"Thou nobly base, they basely dignified;",96,660
"Thou their fair life, and they thy fouler grave:",96,661
"Thou loathed in their shame, they in thy pride:",96,662
